
央视频道,#genre#
CCTV1,http://ott.mobaibox.com/PLTV/1/224/3221227896/1.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/1/224/3221228300/1.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/1/224/3221228499/1.m3u8
CCTV4,http://ott.mobaibox.com/PLTV/1/224/3221228228/1.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/1/224/3221228502/1.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/1/224/3221228114/1.m3u8
CCTV6,http://ott.mobaibox.com/PLTV/1/224/3221228280/1.m3u8
CCTV7,http://ott.mobaibox.com/PLTV/1/224/3221228283/1.m3u8
CCTV8,http://ott.mobaibox.com/PLTV/1/224/3221228165/1.m3u8
CCTV9,http://ott.mobaibox.com/PLTV/1/224/3221228303/1.m3u8
CCTV10,http://ott.mobaibox.com/PLTV/1/224/3221228286/1.m3u8
CCTV11,http://ott.mobaibox.com/PLTV/1/224/3221228289/1.m3u8
CCTV12,http://ott.mobaibox.com/PLTV/1/224/3221228401/1.m3u8
CCTV13,http://ott.mobaibox.com/PLTV/1/224/3221228324/1.m3u8
CCTV14,http://ott.mobaibox.com/PLTV/1/224/3221227656/1.m3u8
CCTV15,http://ott.mobaibox.com/PLTV/1/224/3221228404/1.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/1/224/3221228127/1.m3u8
CCTV17,http://ott.mobaibox.com/PLTV/1/224/3221228407/1.m3u8
卫视频道,#genre#
江苏卫视,http://ott.mobaibox.com/PLTV/1/224/3221228306/1.m3u8
北京卫视,http://ott.mobaibox.com/PLTV/1/224/3221228410/1.m3u8
东方卫视,http://ott.mobaibox.com/PLTV/1/224/3221228425/1.m3u8
浙江卫视,http://ott.mobaibox.com/PLTV/1/224/3221228309/1.m3u8
湖南卫视,http://ott.mobaibox.com/PLTV/1/224/3221228413/1.m3u8
广东卫视,http://ott.mobaibox.com/PLTV/1/224/3221228312/1.m3u8
